ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,CIK,PERIOD_YEAR,PERIOD_QUARTER,PERIOD_DATE
0001606587-18-000912,47776865,3M CO COM,COM,88579Y101,,216,1100,SH,,SOLE,NONE,1100,0,0,0001576102,2018,Q2,2018-06-30
0001606587-18-000912,47776866,ABBOTT LABS COM,COM,002824100,,1117,18321,SH,,SOLE,NONE,18321,0,0,0001576102,2018,Q2,2018-06-30
0001606587-18-000912,47776867,ABBVIE INC COM,COM,00287Y109,,1492,16104,SH,,SOLE,NONE,16104,0,0,0001576102,2018,Q2,2018-06-30
0001606587-18-000912,47776868,ACCENTURE PLC IRELAND SHS CLASS A,SHS CLASS A,G1151C101,,619,3789,SH,,SOLE,NONE,3789,0,0,0001576102,2018,Q2,2018-06-30
0001606587-18-000912,47776869,ALEXANDRIA REAL ESTATE EQ INC COM,COM,015271109,,328,2600,SH,,SOLE,NONE,2600,0,0,0001576102,2018,Q2,2018-06-30
0001606587-18-000912,47776870,ALIBABA GROUP HLDG LTD SPONSORED ADS,SPONSORED ADS,01609W102,,1225,6604,SH,,SOLE,NONE,6604,0,0,0001576102,2018,Q2,2018-06-30
0001606587-18-000912,47776871,ALLIANCEBERNSTEIN HOLDING LP UNIT LTD PARTN,UNIT LTD PARTN,01881G106,,1038,36365,SH,,SOLE,NONE,36365,0,0,0001576102,2018,Q2,2018-06-30
0001606587-18-000912,47776872,ALPHABET INC CAP STK CL A,CAP STK CL A,02079K305,,4759,4215,SH,,SOLE,NONE,4215,0,0,0001576102,2018,Q2,2018-06-30
0001606587-18-000912,47776873,ALPHABET INC CAP STK CL C,CAP STK CL C,02079K107,,1667,1495,SH,,SOLE,NONE,1495,0,0,0001576102,2018,Q2,2018-06-30
0001606587-18-000912,47776874,ALTRIA GROUP INC COM,COM,02209S103,,1297,22842,SH,,SOLE,NONE,22842,0,0,0001576102,2018,Q2,2018-06-30
0001606587-18-000912,47776875,AMAZON COM INC COM,COM,023135106,,8651,5090,SH,,SOLE,NONE,5090,0,0,0001576102,2018,Q2,2018-06-30
